,title,author,publisher,journal,date,translate_title,Abstract,,,
1,상주 지역의 신라 고총에 대한 역사고고학적 이해,김대환,신라사학회,신라사학보,2021,상주 지역의 신라 고총에 대한 역사고고학적 이해,"본 글은 영남 지방의 상주 지역에서 신라 고총의 출현과 의의를 살펴보고, 이 지역 고총의 지역성과 특성에 대해서 논의한 것이다. 현재까지 발굴 자료로 보는 한 상주 지역에서 고총은 5세기 후반의 이른 시기(5세기 3/4분기)에 상주 분지와 함창 분지 두 곳에서 출현한다. 지역 엘리트의 분묘로 표상되는 고총의 등장은 지역 내 읍락들 사이에서 중심읍락이 부상한 것을 의미하며, 그 결과 읍락 간 서열도 뚜렷해진다. 상주 분지와 함창 분지의 고총에는 병성동식과 신흥리식이라고 부를 수 있는 독특한 지역성을 가지는 매장시설이 축조된다. 지역성이 강한 매장시설은 신라 중앙과 매우 다른 문화이기 때문에 그곳에 존재하였던 매장의례의 전통을 토대로 토착 세력의 적극적인 축조 의지가 있었기에 가능한 것이었다. 지역성이 매우 강한 매장시설은 지역 집단의 정체성을 매장의례로 표현하고 오랫동안 전통으로 자리잡은 결과로 해석할 수 있다.",,,
2,조선 전기(15~16세기) 완상의 분위기와 청자 화분의 재현,오영인,한국중세고고학회,한국중세고고학,2021,조선 전기(15~16세기) 완상의 분위기와 청자 화분의 재현,"본 연구는 조선시대 소비문화 연구의 일환으로써 조선 전기 완상의 분위기 속에서 고려청자의 수집과 애호가 이뤄졌고, 귀중품으로 인식되던 화분이 고려청자의 특징을 재현하여 제작되었음을 확인하였다. 화훼는 이른 시기부터 완상의 대상이 되었고, 선비의 도리와 군자의 덕성을 연마하는 수단이 수목과 화훼를 가까이 두는 것이라 여겨 수많은 정원이 조성되는 배경이 되었다. 화분은 화훼 재배와 관련한 기능적인 측면 외에도 식재된 수목 및 화훼와 함께 감상되었을 뿐만 아니라 자연을 그대로 축소한 정원 안에서 다른 지물과 대등한 감상의 대상이 되었다. 화훼를 감상하고 애호한 이들은 당시 오래된 명물 중 하나로 수집과 애호의 대상이 되어온 고려청자를 자신들의 정원 및 공간에 구현하고자 하였다. 1411년 제작된 화기는 이러한 요구에 부합하였기에 엄격한 화분 및 받침의 견양으로 유효할 수 있었고, 관요는 15세기 중후반부터 17세기 중반까지 기형, 문양의 종류 및 형태, 구성, 시문방식과 위치에 이르기까지 고려청자 원통형 화분을 재현한 청자화분의 제작을 지속하였다. 즉, 관요 청자에 보이는 고려청자의 전통성은 시대적 전개 추이에 따른 불가피한 사항이 아니라, 사용하는 이들의 요구사항이 투영된 산물이었다.",,,
3,기와로 본 고려시대 대전 상대동유적의 성격,최정혜,한국중세고고학회,한국중세고고학,2021,기와로 본 고려시대 대전 상대동유적의 성격,"본 연구는 고려시대 대표적인 마을유적인 상대동유적의 기와 분석을 통해 유적의 존속기간 및 주요 건물의 성격 등을 검토한 것이다. 원골과 중동골·양촌의 고려시대 마을유적은 도로로 연결되어 있으며, 명문기와·수막새와 암막새·수키와와 암키와 등 다양한 종류의 기와가 출토되었다. 갑술9월11일원작·전부호장장전언□공 대승장 전청정이복정·유성현관·우술명문기와는 건물과 관련되는 것으로, 갑술9월 11일에 전 부호장 전언□공과 전 창정이복정이 협력하고 대승장이 기와를 제작하여 유성현의 치소인 우술지역에 건물을 건립한 것으로 해석할 수 있다. 막새는 통일신라와 고려형식의 연화문수막새와 당초문암막새가 출토되며, 특히 지방을 중심으로 성행한 연화문암막새가 다수 확인된다. 연화문암막새와 전 부호장 장전언□공 명문기와로 보아 지방 향리층이 중심이 되어 건물을 조성한 것으로 생각된다. 원골과 중동골·원촌에서 출토되는 기와양상을 검토한 결과, 유적의 중심 시기는 11세기부터 12세기이며 조선 초기까지 개·보수를 거치면서 운영된 것으로 판단된다. 중동골 및 양촌이 원골보다 중심지역이며, 중동골의 담장 곽으로 둘러싼 SD1호와 SD2호 건물지는 시설규모와 막새로 보아 위격과 기능이 달랐음이 분명하다. SD1호는 담장 위를 수막새와 암막새로 장식하였으며, 담장 곽 내부도 막새를 사용한 건축물이 축조되었다. 이러한 점에서 볼 때 SD1호는 왕족이나 고위계층의 관료들이 사용하였던 객사로 추정된다. SD2호는 SD1호에 비해 규모나 화려함은 떨어지나, 외부와 차단되는 담장 곽이 마련되어 있고 내부에는 건물지 및 수로가 설치되어 있는 것으로 보아 행정적인 업무를 담당하는 읍사로 판단된다.",,,
4,고려 말-조선 초 공납자기 생산체계의 변화,박경자,한국중세고고학회,한국중세고고학,2021,고려 말-조선 초 공납자기 생산체계의 변화,"고려시대에 전라도 강진 요장(窯場)의 공납자기(貢納磁器) 생산은 14세기 3/4분기에 중단되었다. 이후 공납자기 생산지는 1389년 이전에 강진 이외의 다른 지역으로 옮겨졌고, 1392년 조선 건국 이후에는 충청도·전라도·경상도의 여러 요장으로 확산되었다. 자기의 생산은 특정한 기술력을 지닌 사기장인(沙器匠人)과 가마를 포함한 요업시설을 갖추어야 가능하다. 이 점에서 14세기 4/4분기부터 강진 이외의 여러 요장에서 생산된 공납자기는 특정한 종류의 공물(貢物)을 국가에 대한 신역(身役)으로서 생산한 정역호(定役戶) 공물에 해당한다. 조선은 국가 사무를 수행한 여러 관사의 재원을 공물로 충당하였고 자기는 여러 공물 중 한 종류였다. 조선 초 공물의 조달체계는 크게 분정(分定)과 상납(上納)으로 구분된다. 중앙정부가 공안(貢案) 개정을 통해 공액(貢額)을 정하여 도(道) 단위로 분정하고, 도가 이를 군현(郡縣)에 나누어 정하였다. 공납자기의 경우 지방관이 관할군현의 정역호인 사기장인호로부터 자기를 징수하여 중앙정부에 상납하였다. 1392년부터 1417년 사이에 관사의 재원으로 조달된 자기관련 업무를 수행한 관사에는 사선서(司膳署)와 장흥고(長興庫)가 있다. 사선서는 어선을 포함한 궁궐 안의 음식제공을 담당하였고, 장흥고는 그릇의 관리는 전담하였다. ‘司膳’명과 ‘長興’명자기는 조선 초의 대표적인 공납자기이다. 그러나 1417년 4월에 조선 정부는 공납자기의 양(액수)을 관사별로 나누어 정하고, 이를 분정받은 군현에는 자기를 납부할 관사명을 표기하여 생산하도록 하였다. 이 조치 이후 공납자기에 관사명과 생산 군현명인 지명(地名)이 표기되었다. 이상의 공납자기 생산체계 변화는 태종대의 공안개정 논의, 세종조상정공안이 반영된 것으로 그 결과는 1424년 이후 『世宗實錄』地理志에 139개소에 달하는 자기소(磁器所)로 기재되었다.",,,
5,여말선초 경남지역 와요 출토 평기와의 변천양상,김성진,한국중세고고학회,한국중세고고학,2021,여말선초 경남지역 와요 출토 평기와의 변천양상,"여말선초 기와는 평기와의 타날문양을 통해 총 4분기로 구분할 수 있었다. 1분기는 이전과 비교해 기존 문양이 계속 사용되나, 집선문이 점점 증가하고, 단순·형식화되며 퇴보되는 양상을 띠며, 문양구성은 일정한 틀 없이 다양하게 나타난다. 2분기는 평기와 단부에 종선문이 부가된 기와가 새롭게 등장하여 기존 기와와 공존하며, 고려시대 대표문양인 어골문이 일부 확인되나 이 분기 이후 대부분 사라지고 사선집선문·방곽집선문 등의 집선문 비율이 높아진다. 문양구성은 2·3단문이 확인된다. 3분기는 평기와의 단부 부가 종선문이 일반화되는 시기로, 직선계 능형집선문·방곽집선문·사선집선문·단사집선문이 유행하며 문양구성은 단독문이 주를 이룬다. 4분기에는 직선계 문양 외에 곡선계 문양도 유입되어 제작되기 시작하며, 조선시대 대표문양인 곡선계 호상집선문이 출현한다. 문양구성은 단독문~3단문까지 확인되나 단독문이 가장 많이 제작된다.
여말선초 전환기의 변화는 단부 부가 종선문 채용, 어골문의 소멸과 신규 집선문의 등장, 단독문 문양구성의 유행, 지하식(터널식)의 기와가마 축조 4가지로 요약할 수 있다. 상기 변화양상은 단순히 고려에서 조선으로의 국가전환때문이 아니라 조선이 건국되면서 수공업체계 개편 및 정비가 이루어졌기 때문으로 사료된다.",,,
6,여말선초 이후 동경의 장의적 용도와 의미,박진경,한국중세고고학회,한국중세고고학,2021,여말선초 이후 동경의 장의적 용도와 의미,"조선시대 문헌 기록을 중심으로 동경이 복완(服玩)으로 흉례 때 사용되었던 사례를 살피고 무덤 속에 부장된 동경의 장의적 의미를 고찰한 글이다. 주로 상장례에 해당하는 것으로 조선시대 전례서(典禮書)와 함께 국상을 치르기 위해 세워졌던 흉례도감에서 의례를 진행하고 남긴 여러 의궤를 통해 나름 상세한 내용을 살필 수 있다.
먼저, 조선 전기부터 시작해 조선 말까지 상장례와 관련한 의례용품으로 동경이 제작 및 준비되었던 상황을 자세히 볼 수 있었다. 실제 사용했던 동경을 부장품으로 활용하기도 했지만, 원경(圓鏡) 또는 병경(柄鏡)으로 지름 7.2cm 정도로 제작해 명기처럼 크기를 줄여 소형으로 경갑(鏡匣), 경대(鏡臺)와 함께 준비되었다. 고대부터 매납해왔던 동경의 장의적 성격이 조선에 들어와 체계적으로 제도화되었던 상황을 보여준다.
둘째, 여말선초 이후 분묘를 중심으로 출토되는 소형경(小形鏡)에 대해서도 살필 수 있었다. 주로 원경, 병경의 형태로 문양이 없는 무문이거나 범자문으로 장식되었고, 때로는 소형의 백자 명기와 함께 출토되어 유교적 상장례에 따라 동경을 매납했던 풍습이 확인되었다. 이는 여말선초 이후 유교적인 상장례의 시대적 흐름과 영향을 반영한 것으로 호부용의 기능과 더불어 소형경의 제작과 확산을 이해할 수 있는 단서로 볼 수 있었다.
셋째, 조선시대 문헌에서 동경은 유교적인 사후 세계관을 상징하는 기물로 거론되었다. 마치 무덤 속에 피장자와 함께 금속으로 만든 동경을 매납함으로써 땅 속에 있는 육체가 백(魄), 귀(鬼)와 함께 사후세계로 돌아가는 것으로 상징되었다. 이러한 기록 속 동경에 관한 인식은 장의적 성격과 의미가 전통적으로 강했던 이유를 설명해준다.",,,
7,충주 완오리 고려시대 철 제련로의 구조 및 조업방식 연구,김권일,한국중세고고학회,한국중세고고학,2021,충주 완오리 고려시대 철 제련로의 구조 및 조업방식 연구,"충주는 『고려사(高麗史)』, 『신증동국여지승람(新增東國輿地勝覽)』에 기록된 다인철소(多仁鐵所)가 설치되었던 곳으로, 고대∼중세에 이르는 다수의 제철유적이 분포하고 있다. 최근 충주 완오리에서 고려시대 제철로 3기가 발굴되었는데, 이전 시기 원통형로와 달리 평면형태가 말각장방형이고, 노벽에 관입된 송풍관 및 풀무터가 조사되어 노의 구조와 조업방식을 검토하는데 중요한 단서를 제공한다. 본고에서는 이러한 충주 완오리 고려시대 제철유적의 검토를 통해 노의 구조 및 성격을 파악하였으며, 조업방식에 있어서는 실제 철 제련복원실험이 가능한 실험매뉴얼 형식으로 제시하였다.
고려시대 충주 완오리 2호 노에서는 철광석을 제련해 괴련철과 선철을 생산했을 가능성이 병존(竝存)하지만 괴련철보다는 선철을 생산하기 적합한 구조인 것으로 파악되었다. 필자가 제시한 노 구조 및 조업매뉴얼에 기반해 실제 괴련철 생산 실험을 실시한 결과에 있어서도 역시 괴련철보다는 선철을 생산했을 가능성이 높다는 것을 알 수 있었다.
이러한 현상은 이전 시기 원통형 제련로에서 괴련철을 생산했던 조업방식이 다양화되어 선철을 생산하는 기술이 확립되는 과도기적 양상으로 이해된다. 다만 조업방식을 달리해 괴련철과 선철을 선별 생산했을 가능성이 있기 때문에 향후 선철 제련실험 등 추가적인 연구가 필요하다.",,,
8,강도시기 강화읍 외곽 토성의 구조와 성격,문옥현,한국중세고고학회,한국중세고고학,2021,강도시기 강화읍 외곽 토성의 구조와 성격,"본고는 강도시기 강화도성의 성곽체제에 대한 그동안의 이해를 바탕으로, ‘강화중성’으로 불리는 강화읍 외곽 토성에 관한 최근 조사 성과와 성격을 고찰하였다. 최근의 조사 성과에 따르면 강화읍 외곽 토성은 초축 당시 별도의 내·외피 없이 판축토성만으로 완성되었을 것으로 추정되었다. 또한 토성 축조과정 상에 인위적으로 설치했을 것으로 여겨졌던 와적층은 성벽 상부 구조물의 폐기와 관련한 퇴적층일 가능성을 제기하였다. 성벽 상부의 구조물은 문헌기록 상에 전하는 ‘성랑’과 관련되었을 것으로 보았다.
한편 강화읍 외곽 토성에는 방어와 관련한 시설과 다수의 성문이 조성되었다. 북성벽 외곽에는 목책과 외황이 설치되었으며, 남성벽 대문고개 구간에는 성문 방어와 관련한 치성이 축조되었다. 성문과 방어시설, 교통로에 인접한 지점에는 등성시설이 조성되었다. 성곽에 부가된 시설물의 규모는 모두 영정주 단위를 기준으로 설정된 점이 특징적이다. 강화읍 외곽토성이 넓은 범위에 걸쳐 축조된 만큼 성곽 내외를 연결하는 교통로상의 성문도 다수 존재했을 것으로 짐작된다. 성벽이 단절된 지점을 중심으로 살펴보면 성문은 많게는 25개소에 달했을 가능성이 있는 것으로 파악되었다. 강화읍 외곽 토성은 성문이 폐기된 후 담장을 쌓아 막거나, 목책이나 외황을 인위적으로 폐기한 양상이 확인되는데, 이는 1259년 몽골과의 화의에 따라 성곽이 훼철된 정황을 반영하는 것으로 보인다.
강화읍 외곽 토성은 강화 도읍을 넓게 감싼 도성으로 기능했을 것으로 추정된다. 도읍의 방어와 더불어 도읍의 범위를 확정하고 도성 내부의 행정구역을 정비하는 기준이 되기도 하였을 것이다. 강화도성은 개경과 같이 방리제가 적용되었을 것으로 추정되는데, 천도가 단행되고 오래지 않은 시점부터 정비되었을 개연성이 크다. 이런 점에서 강화읍 외곽 토성은 천도 직후부터 건설되기 시작한 외성일 가능성이 있다고 판단된다.",,,
9,唐代 農家의 종이 이용과 조달,안현철,부산경남사학회,역사와경계,2021,당대 농가의 종이 이용과 조달,"본고는 唐代 농가에서의 종이 이용과 조달을 중심으로 살펴보았다. 중국사에서 종이는 오래전부터 쓰이기 시작하였고, 後漢代 蔡倫紙가 발명되면서 종이가 점차 활발하게 쓰였다. 특히 唐代가 되면서 문헌 기록을 통해 종이 이용이 늘어났음을 알 수 있다. 그러나 唐代 문헌 기록의 내용은 대부분 지배자층의 입장에서 쓰여 있다. 이 시기 종이가 활발하게 쓰였다면, 피지배층인 농민들도 종이를 이용했을 가능성이 클 것이다. 農書에서 기록된 내용을 통해 농민들이 여러 용도로 종이를 사용하였음을 알 수 있었다. 실제 吐魯蕃出土文書와 唐代 農書인 『四時纂要』를 대조해본 결과 ‘桃’를 재배할 때 종이를 이용했을 가능성은 충분히 있었다. 그렇다면 唐代 農民들은 종이를 어떻게 조달했을까. 문헌 기록에서는 농민들의 종이 조달에 관한 내용이 없기에 농서와 고고학 자료를 통해 살펴 당대 농가에서의 종이 이용, 조달, 제지 형태를 살펴보도록 하겠다.",,,
10,한국의 지표조사와 '유물산포지' 개념의 확대,양정석,동국대학교 신라문화연구소,신라문화,2021,한국의 지표조사와 '유물산포지' 개념의 확대,"고고학적 조사의 시작점은 지표조사라고 할 수 있다. 지표조사를 통해 확인되는 다양한 유적은 그 특성에 따라 분류되는데, 그 중 하나가 유물산포지이다.
문화유적분포지도가 처음 제작되기 시작할 때까지 만해도 선사유적에서만 유물의 산포지 개념이 적용되었고, 그 외의 유적은 대부분이 역사시대의 것이기 때문에 해당 분야의 전문가들이 각기 자신의 영역에 대한 조사와 연구를 하는 것에 그쳤었다.
그러나 매장문화재에 대한 인식이 본격적으로 등장하면서 이제는 고려시대나 조선시대의 유물이 산포하고 있는 지역도 추가적인 조사가 더 진행되어야만 유적의 특징을 알 수 있는 유물산포지로 인식하는 방향으로 전환되었다.
그 중간과정에서 기와산포지, 토기산포지 등의 용어도 만들어졌지만, 이제는 유물산포지로 포괄되어 선사나 고대뿐 아니라 중세시대도 기본적으로 동일한 고고학적인 방식의 조사과정을 거쳐서 의미부여가 되는 시기가 된 것이다.
물론 현재 이 유물산포지라는 용어는 매장문화재 법령상으로는 지표조사에서의 의미가 명료하지는 않다. 하지만 실제 지표조사라는 측면에서 본다면 이러한 인식의 확산은 단순히 유적분류 방식의 변천에 멈추는 것이 아니라 중세시대의 문화유적을 찾는데 중요한 고고학적 방법론이 하나로 통합된다는 점에서 더 의미가 있지 않을까 한다.",,,
